term,score
氣氛,0.13272596660180822
態度,0.10565311435712897
旁邊,0.09991895701783927
選擇,0.08774672903401284
一般,0.08237023730539045
10,0.07890316972384069
值得,0.07144926114783044
整個,0.067649827352793
令人,0.0558342213821374
熟度,0.04579646323713572
牛排,0.04248803283901332
知道,0.04019811414121325
失望,0.03959270931566021
服務生,0.03301694323480786
看到,0.025995181681059902
牛肉,0.01871766183184076
提拉,0.017988479979023732
唯一,0.016122439687955566
食材,0.015060783809239461
不會,0.014906406448117665
服務人員,0.010597568752269484
超級,0.0063692964558607415
