term,score
家常菜,0.12101723294026767
一定,0.11060600801638673
朋友,0.10040919057960632
牛肉,0.08990647699139001
網路,0.0895231631137133
出菜,0.08621307177508983
一人,0.08231640370518456
豬肉,0.07500115268765334
特別,0.07395749923311155
知道,0.07108449654846284
開心,0.06954096798785295
只有,0.06415701748389552
預約,0.06295902381414846
不要,0.06271675398072703
熱情,0.059443747737110475
下次,0.05838815897814684
招呼,0.052363001172953276
食材,0.049906652613711716
不同,0.049906652613711716
白飯,0.040363405331059816
結論,0.03382723346988129
一直,0.028109223571992678
100,0.024967150237846236
美味,0.000971460498896029
