term,score
米其林,0.1404901672318397
口感,0.1211494804783458
食材,0.10997450875433046
福岡,0.09935491062498392
特別,0.09153046736195301
整體,0.08962723342246642
日式,0.08054746669036311
甲魚,0.07282412670771962
台北,0.07100791826436358
詳細,0.06852386017771807
濃郁,0.0682862981691901
很棒,0.06613209098949717
楊貴,0.06485648659736541
妃鍋,0.06485648659736541
香氣,0.06324024296310621
ajimi,0.06104972187851869
魚翅,0.06012405076315959
到位,0.05891735263260586
擺盤,0.05801360063220018
湯頭,0.05710830838132769
魚骨,0.056146877315132765
喜歡,0.055213809518315046
風格,0.05379112264921803
日本,0.0531784796496179
2025,0.04755936720949219
大安,0.0430446254872123
豬腳,0.042330438128557135
北海道,0.04156360259415992
滿足,0.04156360259415992
下來,0.04103203900615314
