term,score
蛋餅,0.16503182108110456
特別,0.16110730809336724
早餐,0.14367650046937225
松露,0.12743201697631906
吐司,0.11329347448767013
喜歡,0.11207434381190999
今天,0.10915810743823431
用餐,0.1002967006336938
店內,0.09723791507867506
日式,0.09563473231008303
舒適,0.08923066747513844
三明治,0.0871698431923307
咖啡,0.0870921088127266
點了,0.080770912918067
乾淨,0.0753378742127533
一般,0.07297923246763559
搭配,0.06791861861353302
歐姆蛋,0.06471577852794334
新鮮,0.06353467026863967
點餐,0.06311770752543625
整體,0.05724987186458204
美式,0.04995713535770309
