term,score
大利,0.10825047451028669
花果,0.10369185441924689
披薩,0.09060241884260689
口感,0.09005197380554456
還是,0.08887476052818971
推薦,0.08520288923666018
用餐,0.08388716289216168
搭配,0.07991142307232565
火腿,0.07332603075890243
章魚,0.07278196539601564
氣氛,0.07268941467868624
雖然,0.06962940570973682
新鮮,0.06856536617415823
千層,0.06664970428700213
整體,0.06576281006434707
前菜,0.06564440740489833
想要,0.0645939612120555
起來,0.06456919893399123
驚艷,0.0645074839689736
羊排,0.06258758372518215
松露,0.061689786682827145
一口,0.05677700555384392
適合,0.05601988131527305
美味,0.055941876702792534
份量,0.054842970146999744
恰到,0.05427099372619288
香氣,0.0540078184213014
起司,0.0533556241580989
喜歡,0.05029230872179244
開心,0.049425973501159896
