term,score
飲料,0.3970198551740123
沙灘,0.19422692247087975
拍照,0.18118203378927453
拼盤,0.16092219182926454
炸物,0.1054673498330807
特別,0.10317174201898079
偏高,0.08722258010373753
點餐,0.07504162313249516
奶油,0.07504162313249516
美食,0.07410102719728097
方便,0.07370458717643218
每個,0.07105275370263194
一起,0.07061508148594273
裝潢,0.06285368047174669
咖啡,0.057737243241766135
點了,0.057573077229764735
一定,0.05428026789285552
風味,0.05312611123505888
照片,0.05078048937556563
網紅店,0.04544640347119074
服務人員,0.036202905705367334
朋友,0.02290397684724038
用餐,0.013205445224876183
松露,0.006291715399392286
義大利麵,0.006116474158075938
好喝,0.0030845229548928516
