term,score
聚餐,0.1256139153993654
整體,0.11879282580360596
適合,0.11144958870372884
喜歡,0.10185286568071555
親切,0.09794687732502418
拍照,0.08352830192935741
推薦,0.08085828535010227
松露,0.0793721792330377
好喝,0.07634739832812595
起司,0.07206251760500434
漂亮,0.07072111708838259
用餐,0.06867039254060921
不錯,0.06722336632550192
大利,0.06689602179890895
搭配,0.06499050035494705
薯條,0.0647019381742998
起來,0.06348536310417169
番茄,0.06263465802920584
朋友,0.05832687784088558
特別,0.058271885068212334
披薩,0.057391544726497205
沙拉,0.05559455231629272
氣氛,0.05241856891579019
炸物,0.050836082790437866
能夠,0.04904245882081314
101,0.048674603202267186
晚上,0.04709638094228563
服務人員,0.045918212414479645
干貝,0.04298899373074948
濃郁,0.04241369597179733
