term,score
特色,0.12648942912134067
不會,0.10822646654437733
推薦,0.09831143035601181
氣氛,0.0954507899196529
親切,0.09253700996863144
喜歡,0.07838795911250274
酒單,0.07612970658837767
酒感,0.07489155495049064
訂位,0.07141804630650439
水準,0.06957227621607165
舒服,0.06633087576210203
造訪,0.06579857774390388
整體,0.06509880932410764
值得,0.06506867803069734
拉麵,0.06380060350707192
bar,0.05449971769835757
mood,0.05449971769835757
用心,0.05180446168094397
搭配,0.050622227364087016
選項,0.04952390057673362
特別,0.04880662624037688
風味,0.045597144464857964
質感,0.04404865376736531
創意,0.04319335900184362
風格,0.041640834874783074
點了,0.03757470148502132
bars,0.03715303876197539
asia,0.03715303876197539
只有,0.03457644455513212
