term,score
用餐,0.16105920847160907
蛋糕,0.11032271914202559
披薩,0.1086297522208454
服務人員,0.098667641280681
不會,0.09299325164434115
推薦,0.09043813974307453
生日,0.08639241951610382
起司,0.08598118889314327
義大利麵,0.08391651480422083
甜點,0.07900758543478932
巧克力,0.07879932440630161
朋友,0.07447858606747894
pizza,0.07177753175356526
值得,0.07130021990454194
這次,0.07109693239849645
親切,0.06810054730250988
整體,0.06796842943496877
bellini,0.06567679070557884
奶油,0.062336155456321374
特別,0.062336012201626184
搭配,0.06086656662133222
速度,0.06014530898907076
牛排,0.05817707493725899
大利,0.05398675011740435
一起,0.05293535212035503
氛圍,0.046867705823852863
羊排,0.043922641370794324
適中,0.04199083001465882
