term,score
牛肉,0.16401362759644067
咖啡,0.14855523414721714
美式,0.11996305277318027
三明治,0.11756182054382243
特別,0.11187796346402802
好喝,0.10873618307795913
起司,0.09986103241097728
費城,0.09232281219652826
甘蔗,0.08555392269438192
一下,0.08152260944040533
座位,0.07727726377235272
內用,0.0767224266780079
帶杯,0.07493798018405405
舒適,0.07139501810110974
店裡,0.07078163301938067
空間,0.0689034636860181
不錯,0.06664366551890151
喜歡,0.06586187041241826
位置,0.06538973486201989
中山,0.06044907037205835
吐司,0.06023413975315769
蔬菜,0.059283270210918615
杯子,0.05737042848382794
設計,0.05737042848382794
搭配,0.05691299008743385
開放式,0.056642931640223854
blt,0.05247031957322197
一杯,0.05146931147181536
剛好,0.05142195691812054
今天,0.04965596288059256
