term,score
法式,0.12325706347293755
吐司,0.12177332786522746
可頌,0.1024040607431744
不然,0.09704930569659255
口感,0.0954786794067727
濃郁,0.09441477910342272
炒蛋,0.09246613550804408
搭配,0.08976513320900892
二訪,0.08869788997016517
時間,0.08536379743030267
好喝,0.08223895316769675
推薦,0.081442251260337
奶油,0.07313473091656322
迪克,0.07253699560402613
班尼,0.07253699560402613
適合,0.06876603742555493
訂位,0.06679921793042021
番茄,0.06226931073500527
選擇,0.06222035253458009
香草,0.061982188956886675
沙拉,0.0577238192195965
明亮,0.05709848793558
舒適,0.05196732603374625
分鐘,0.03653111019035141
午餐,0.014502117333399803
