term,score
牛肉,0.11886264679864227
牛排,0.11378706141715336
還有,0.09935842137334167
朋友,0.09906807109921377
用餐,0.09282718722882115
喜歡,0.08604637831539313
適合,0.08393520751398842
體驗,0.08246307720924663
超級,0.0823431689277019
肉質,0.08172742981425504
驚喜,0.07938043870922329
肉類,0.07546391942921203
舒服,0.07100497717526759
下次,0.070150967013834
一定,0.0681298253206239
氛圍,0.06760275427165248
不同,0.06593900475626427
完美,0.06522777238050126
大家,0.06339985499132178
很棒,0.061507320458901796
其他,0.06147739254715637
回訪,0.05865195388500787
簡直,0.05860032145479138
推薦,0.05578339512373006
貼心,0.05570884142140808
美味,0.054978980608159395
整體,0.05394342895734815
剛剛,0.05243598414109296
塔塔,0.050125761129519095
香氣,0.048820938026176944
