term,score
漢堡,0.22724408605951593
飲料,0.19696624721157985
薯條,0.16817311484164585
不錯,0.11503686862031953
牛肉,0.10656241627296079
200,0.10068019721238794
點餐,0.08754424236978854
可續,0.08591570934825227
份量,0.08276902268212406
用餐,0.08165746109123134
整體,0.08064424433075039
起司,0.07033666582737863
套餐,0.06892543745467872
特別,0.06844121909793796
美式,0.06659209307609602
主餐,0.06554830126215538
很多,0.06461993748269226
一樣,0.06029938698695989
大利,0.05811109510723396
生菜,0.05603921657997529
2025,0.05091791146118378
上餐,0.050796669576114555
時間,0.0494369620812414
起來,0.04707842759965492
相當,0.04646544546636726
晚上,0.04408520994292017
培根,0.04302396966879049
qr,0.037883102371331495
code,0.037883102371331495
雖然,0.03334475957437186
