term,score
舒適,0.09816559982578701
令人,0.07636138729110345
壽星,0.07518576291916337
套餐,0.07144060691009481
選擇,0.07100918246541138
看到,0.06430441500395746
份量,0.06320494772671689
主餐,0.06211479521175574
油醋,0.05797164098606463
感謝,0.05759259692344849
推薦,0.055646920339763345
適合,0.05497221292109942
bencotto,0.05346203664140149
招待,0.049263129132497085
台北,0.049223363895063106
特別,0.047002569625023485
用餐,0.03683013471700078
大利,0.035099239415667324
體驗,0.03303677401400039
口感,0.01735755297476254
這次,0.01394335202856313
桌邊,0.006738907474778254
五道,0.0051827141255674156
