term,score
直接,0.128983035381864
用餐,0.10303719949455728
朋友,0.0981453384115449
橘色,0.09778312646064971
龍蝦,0.08759268199653358
巧克力,0.08351928770374607
推薦,0.08030154274403209
相比,0.07959651611694842
招待,0.05394955005631266
只有,0.04723709955430508
知道,0.04400752750857376
特別,0.025290684896023603
牛小排,0.02492106018509238
周到,0.01878485440303697
cp,0.01602557173211662
鮑魚,0.01430797666161527
涮鍋,0.011879907384742282
印象,0.011300931614364625
火鍋,0.006098948365884413
體驗,0.004003128641644711
完全,0.0008904290112873164
生魚片,0.0007723655843608901
