term,score
一樓,0.12453786640434165
打電話,0.10656810907845131
舒服,0.09957157121975185
三明治,0.09418870864750696
氣氛,0.08861916913843224
上樓,0.08724537476529305
高空,0.08631608554504432
上去,0.08068955241023446
acme,0.079508721896876
101,0.07946268311273454
35,0.07199271428440272
空間,0.0717485708163713
景觀,0.07126820983990916
用餐,0.06945820872780838
位子,0.06910414334440709
整體,0.06856700652746718
巴斯克,0.06666638446063691
地方,0.061877157952408425
座位,0.05690165171054109
朋友,0.05578493235655948
下來,0.0534720877694084
點了,0.05120665322063488
午餐,0.049272413352938596
擺盤,0.04916556897519769
體驗,0.0472313291075014
需要,0.046712660493948746
帶位,0.04506401784950675
高樓,0.04349954028600267
中間,0.04326548314157505
