term,score
午餐,0.15258309373719275
搭配,0.09209097173538075
甜點,0.0900476850554873
大安,0.08799015330655369
布丁,0.07993550781771837
清爽,0.07549103064725055
巴斯克,0.07247991000732436
蛋糕,0.07163852566649909
台北,0.07034531505045945
水果,0.06406333703545651
喜歡,0.06375364527945539
附近,0.06334551749989498
乳酪,0.06041722285112869
拼盤,0.06015263418090265
焦糖,0.0585061300685455
推薦,0.057474329812177496
手作,0.05621295352661035
舒適,0.05457568448403871
優格,0.053200732439604055
極上,0.052495784233211246
莓果,0.05200269973289098
朋友,0.05144788724116546
燕麥,0.05134726585263856
特別,0.05123043987161969
生菜,0.05078312806677586
布朗,0.050362460783545095
一口,0.049489757732255966
優格碗,0.049302290613593966
白色,0.046590729916136414
今天,0.04537369608732755
