term,score
薯條,0.11392097278674881
巧克力,0.10917032649727533
知道,0.08930660197973822
第一次,0.08380484603641455
特別,0.07900776208674386
那種,0.07730078202510819
牛肉,0.07651748731608748
沒什麼,0.07474779354564524
花生,0.07385253547781839
炸魚,0.07154128742891575
第二次,0.06964161709106684
一次,0.05905192632694314
冰沙,0.05770870363565386
一樣,0.04165550330702262
口感,0.04130202567961019
特濃,0.03545516066445152
松露,0.03092458960422431
整體,0.02050586254313959
有加,0.018881813333109593
不會,0.016789380902882345
拿到,0.01659153557117953
好喝,0.014295191831033442
得到,0.014014495241226964
看到,0.013906234445638259
之前,0.012783870813994687
而言,0.008875890102337199
不好,0.00864513216820096
格格,0.005024554169466414
點了,0.004871529014201105
雖然,0.00346961346093011
