term,score
甜點,0.09543744660842345
海鮮,0.09299022332135973
發現,0.08746847088126897
套餐,0.08387950900674998
新鮮,0.07981047519065865
推薦,0.07469416454525685
適合,0.07049940740774574
檸檬塔,0.06750697481263543
朋友,0.06585744457060176
份量,0.0616830371020589
超級,0.06071793990867044
得到,0.060104872994170416
選擇,0.059564796168854545
椰奶,0.05956416835202025
好喝,0.05915642152793197
裡面,0.057155077666921184
泰國,0.055217588773090465
一定,0.055129328114228666
巧克力,0.051445227681597636
冬陰功,0.05092179717686128
第一次,0.050416934980677605
服務人員,0.04979556204822297
牛小排,0.04801554894957256
酸辣,0.04582705053323418
奶茶,0.045503400465038216
女婿,0.045196305888128806
值得,0.04261238604513365
加點,0.04213851672895835
不會,0.04185556196906125
裝潢,0.04094571041411537
