term,score
蔬菜,0.09108062345272798
搭配,0.08396876932214875
牛肉,0.08006177822756445
外帶,0.0793113059471816
推薦,0.07498534711297256
小店,0.07295802697409237
喜歡,0.0714774028193286
風味,0.06888448173324652
套餐,0.06863639880681137
濃郁,0.06819836532960721
咖喱,0.06273065980955708
沙拉,0.05820469132352856
座位,0.05447314142348122
整體,0.05295818427972886
好喝,0.05267045565769102
乾淨,0.04792754842683114
日本,0.04761815961841162
日式,0.047538301865592214
店內,0.04731079961344747
限定,0.04635285619563365
內用,0.045974679246899276
滿滿,0.04449012870897864
香料,0.03461396640184353
發現,0.025094892508616864
親切,0.0032922668641439043
