term,score
咖啡,0.11548451626736757
薯條,0.09657236768827537
桌椅,0.08237501773552111
店內,0.08165373499741183
店貓,0.07966081505105245
不會,0.07828148111505055
一直,0.07420340548621071
沒有,0.07271426204941495
還有,0.07262833500709807
晚餐,0.07102774599439979
奶油,0.06911929380911695
蔬菜,0.06743249989624318
大利,0.06681723616997257
辣椒,0.06631036881630997
干貝,0.0657492826608556
招待,0.06516801274359457
空間,0.06289619680416728
附中,0.06278044874089564
店家,0.06218486722860418
朋友,0.0621842624763433
只有,0.061770141998250955
份量,0.060778085439338825
bbq,0.05877479668459705
搭配,0.05833535149248325
一杯,0.05790705026732061
花椒,0.05785954001261927
調酒,0.05626278673997827
剝皮,0.05612921321934797
發現,0.05563008066731108
明太子,0.05358157179134049
