term,score
蛋糕,0.1338385454517885
用餐,0.13188126962293956
不錯,0.11816291105824868
套餐,0.11632060629202104
咖啡,0.09700593792077468
沙拉,0.08272378659009538
甜點,0.07958640120805865
主菜,0.07673668844906203
下午茶,0.07669950587465166
30,0.07609373078317541
東西,0.0751718683847086
氣氛,0.07515105398178457
10,0.07203131514641
飯店,0.07156213079248996
整體,0.06947285390519649
地方,0.06899432378481805
下次,0.06744873613122762
服務人員,0.06611901766073902
這個,0.0649107358112322
飲料,0.06110803376480996
建議,0.059836585314903906
部分,0.058235269776404155
水果,0.05811913406696141
不夠,0.055581227504197334
水準,0.054870052381921545
方便,0.05256081401455816
尤其,0.05129779111315143
一下,0.0483073398000074
漢堡,0.04824232396411425
不是,0.04553718985454824
