term,score
整體,0.09533131771343398
墨西哥,0.08746994749250592
下午茶,0.07540371540584984
停車場,0.07383586241549119
台北,0.07337097373912826
選擇,0.07336661820943385
飯店,0.07130671464712976
雖然,0.06630950185990787
準時,0.06417611819418312
checkers,0.06398543331574491
聚餐,0.06233003905275682
熱食,0.06089694870948865
50,0.058963402175298246
特約,0.058963402175298246
主題,0.0580837086749216
30,0.056998189968883166
cp,0.05680042850707885
一口,0.051083129117009664
位置,0.04959726740562876
牛肉,0.04677021450968773
餐卷,0.04667777343970071
沙拉,0.04459448138081121
10,0.042451694151748785
假日,0.040397927117508746
冰淇淋,0.04011909414148829
朋友,0.03937068082759302
直通,0.0389000317631252
已經,0.03674013778374624
現切,0.03617210416779827
水牛城,0.036092591680471055
