term,score
還要,0.12126588601985189
服務員,0.12119779924412374
10,0.10557741226295264
上菜,0.09262943061550469
速度,0.08403184491282051
服務態度,0.075188917195735
服務費,0.0683592957698737
份量,0.06042164187313942
泰正點,0.05984187851992881
服務生,0.057985578165561436
完全,0.05745467821350565
套餐,0.05568341257775299
不會,0.04991118458339906
椰汁,0.04881218763558842
詢問,0.044358939889346125
台式,0.029509451238976872
分鐘,0.02844685793443267
雖然,0.024473246619454755
238,0.024053525456477483
咖哩,0.020040247475010375
便宜,0.019305249975956534
奶茶,0.015238442451800782
白飯,0.008632421566763913
推薦,0.008380498244198693
值得,0.006610023908023021
蝦餅,0.005521911855082363
月亮,0.005521911855082363
是否,0.00527390815725623
單點,0.0012162866013049195
飲料,0.0006203266852224491
