term,score
泰式,0.15710561686453675
定食,0.09434154098007341
咖哩,0.09403155406081604
不錯,0.08758441626917654
氣氛,0.0781624264096179
用餐,0.07048071456432164
客人,0.07003040393390005
麻雞,0.06763436275383083
整體,0.06266635861743591
酸辣,0.062241964273230165
選擇,0.06131335619577707
青木瓜,0.05859625483226233
不是,0.05594872170398768
美味,0.0531564076305559
沒有,0.052768338197642484
拋豬,0.05264872796754854
不過,0.0515469451643836
燈光,0.05121345046578723
套餐,0.05044172747164763
炸春,0.04963918396473554
cp,0.04523343578147647
公館,0.044832857187164434
裝潢,0.043712950737250185
價錢,0.0430245079367902
剛好,0.04284167633374332
月亮,0.04227976537126697
蝦餅,0.04227976537126697
辣度,0.039686236280366036
平價,0.03863892589747693
海鮮,0.037854993472702186
