term,score
牛肉,0.21202322670072887
原本,0.136505502678339
下次,0.10222265347401609
胸肉,0.09500180752009395
地瓜,0.08206807606442386
只有,0.0655877306376133
特別,0.059933283210244076
調味,0.05216897952392868
奶昔,0.05182768859968387
套餐,0.047432093200969784
飲料,0.04540235508188621
雞肉,0.04386389746100276
雞塊,0.039885244360290985
薯條,0.03752829949668986
還算,0.03726053001794398
搭配,0.033041106902879425
多汁,0.03058769923964952
胡蘿,0.027536933243718635
玉米,0.027536933243718635
店內,0.027377913883773003
豆漿,0.026947100265197
三明治,0.02482327120943619
醬料,0.024411244154457855
好喝,0.021427025939991094
整體,0.01830423846973834
很大,0.017227012044343945
生菜,0.015573400922438387
蛋白,0.014712389178099961
火龍果,0.01271269916049058
確實,0.011682180874431895
