term,score
漢堡,0.11176901140605883
奶昔,0.09302305931839049
胸肉,0.07799888965582638
份量,0.07755739384187389
舒肥,0.0769721184618734
健康,0.072888568054104
不錯,0.07073405238273078
不會,0.07052921369147053
花生,0.06750083849839054
套餐,0.06734100946235924
一點,0.06575081426586141
不過,0.06381088792582754
健身,0.06155390433726519
正常,0.05313463154720906
巧克力,0.05128889015605459
還行,0.04819066269136929
cp,0.047667592308379234
新鮮,0.04757301248556406
點心,0.046913784148719787
香蕉,0.0466129434492749
很多,0.046313031195599735
好喝,0.04312001170433921
地瓜,0.04294707723997973
口感,0.0424828006709319
還是,0.04199998722354462
一口,0.04146252941953747
可惜,0.04068225979106752
適合,0.040125564257995947
附近,0.03907969972677311
卡拉,0.036378929302462344
