term,score
咖啡,0.225548699289334
用心,0.10846502552365318
值得,0.10775967985760446
舒服,0.09632747332077451
氣氛,0.08124413285189762
朋友,0.08040438922681321
冰滴,0.07883956072218279
超級,0.07616934511429543
不會,0.07520199458700479
好喝,0.07470467661086112
美味,0.07360800281573424
蛋糕,0.0708332960259441
甜點,0.06689754917292787
適合,0.06320816622411594
不錯,0.06300451881345565
大安,0.06105172939763653
舒適,0.06092475614246867
氛圍,0.058221529888981584
喜歡,0.057904232492681076
兩種,0.05753872205803104
濃郁,0.056317339428932564
店內,0.053866895194590404
店家,0.053048511084155994
搭配,0.04783723500925475
咖哩,0.04596978314449338
份量,0.045341240012517624
起來,0.04474936430333465
推薦,0.04371843102855495
部分,0.041005662461713104
沒有,0.040955706620365004
