term,score
蛋餅,0.14687736694557207
用餐,0.10159828891538797
沙拉,0.10157146649676971
搭配,0.09801390042409414
整體,0.09749939350642044
座位,0.09502936670347759
店內,0.09235535227469319
飲料,0.0846093634293453
喜歡,0.07747298284111664
舒服,0.0756592802032505
牛肉,0.06902229900994293
套餐,0.06651617367759954
午餐,0.06360460876934526
選擇,0.062215972633674975
份量,0.06143473933590608
多汁,0.06133207303980961
乾淨,0.05972133355452883
適合,0.05877203658151813
氣氛,0.05722936333897148
酥脆,0.05527017896788758
豬排,0.055084527968819665
呆呆,0.054967291170359665
特別,0.05465404614757668
很大,0.05352836467488985
cp,0.04721073684735653
雞腿排,0.04562561214281231
內用,0.04476126360269018
口感,0.04140862868241702
薯條,0.04124832746482046
不會,0.041032930858348415
