term,score
起司,0.11744810402591405
親切,0.07651498169684723
pizza,0.07392748973919977
外帶,0.06161601381371816
現烤,0.06100715135978223
cp,0.05474813068682691
10,0.05032559400825796
內用,0.04891260320418664
時間,0.04844505043187789
手工,0.048239367130520315
座位,0.04575610698432436
口感,0.04572511082599533
需要,0.04162474009062676
一片,0.04084794468651363
超級,0.040679323267406496
巷弄,0.03937273409865153
薄脆,0.038663643923059494
店內,0.03857721500839525
位置,0.037605612301044075
美味,0.0374539759914735
整體,0.03740463730588812
喜歡,0.034173399944203466
不會,0.033792573918206725
牽絲,0.03330221163271436
這個,0.032112943450301815
150,0.031566280047881874
使用,0.03139875437984163
燒肉,0.031135665685270143
推薦,0.03072556809134709
雖然,0.030518668159268965
