term,score
服務人員,0.41099746826339323
甜點,0.3287979746107146
飲料,0.3287979746107146
已經,0.24659848095803594
詢問,0.24659848095803594
菜單,0.24659848095803594
是否,0.1643989873053573
裡面,0.1643989873053573
五個,0.1643989873053573
一陣子,0.1643989873053573
兩份,0.1643989873053573
來過,0.08219949365267865
入口,0.08219949365267865
分到,0.08219949365267865
其他人,0.08219949365267865
加點,0.08219949365267865
只給,0.08219949365267865
但盤,0.08219949365267865
點餐,0.08219949365267865
五份,0.08219949365267865
主餐,0.08219949365267865
大蒜,0.08219949365267865
中是點,0.08219949365267865
中午,0.08219949365267865
上餐,0.08219949365267865
三份,0.08219949365267865
一開始,0.08219949365267865
一半,0.08219949365267865
a5,0.08219949365267865
50,0.08219949365267865
