term,score
pizza,0.0979447921062641
排隊,0.09562482347572276
必點,0.09438987041777902
義大利麵,0.08364790557269412
等待,0.08230203379677997
不用,0.0810388569515203
座位,0.07989382357142708
蛋黃,0.07195390189501086
薯條,0.0714739075339401
一定,0.06731011086173078
親切,0.06506868661515386
15,0.05944941585018066
多汁,0.05943321439718646
訂位,0.05895938800008915
朋友,0.05847723272967689
值得,0.05768397290705171
店內,0.057342036678612304
用餐,0.055047870063170884
飲料,0.05165961394520673
剛好,0.049329132146455165
平日,0.041389090048982315
