term,score
牛排,0.16976691445998904
不錯,0.12026259267671259
朋友,0.11911317393418222
口感,0.11744617692888064
喜歡,0.11076589175042996
主廚,0.10985943358266101
套餐,0.10973987472516196
專業,0.09878473899232987
搭配,0.09592758432611362
回訪,0.0955200033582963
整體,0.09340078940157709
甜點,0.09271206196025253
包廂,0.08597330147650396
用餐,0.08321331115964098
a5,0.07973608489043932
紐約客,0.07319629140078479
主餐,0.07202148945969805
教父,0.07123745105934387
午間,0.07087270019013685
residence,0.06982401634474764
服務人員,0.06903881451397041
剛好,0.06825874088595262
特色,0.0682394708512922
冰淇淋,0.066776324842035
日本,0.06605863004938867
特別,0.06380387067096717
大安,0.06185943392088245
湯品,0.057594227092350306
菲力,0.053883623289134236
前菜,0.048411891033628605
