term,score
牛排,0.13455707372060766
套餐,0.1022222454453102
友人,0.09301190599207455
態度,0.09301190599207455
丁骨,0.0903060467237289
用餐,0.0886810469228164
推薦,0.08738263822564109
單點,0.07155557181171715
拿到,0.07155557181171715
喜歡,0.07125516594912645
服務生,0.07125516594912645
a4,0.07077904091200359
這是,0.07077904091200359
主餐,0.07077904091200359
起來,0.06160355022402288
介紹,0.06160355022402288
自己,0.058691771711261206
一樣,0.05347639990310233
以上,0.053312070957314286
女服,0.053312070957314286
或是,0.05143472048079707
we,0.0511111227226551
cut,0.0511111227226551
美味,0.050917506462674844
這個,0.050917506462674844
搭配,0.04904015598615763
一塊,0.04904015598615763
肋眼,0.04718602727466906
鈴薯,0.04718602727466906
很多,0.04718602727466906
