term,score
大利,0.1858833020522674
薩丁尼亞,0.1304494575295186
珍珠,0.09327446012507173
推薦,0.09179617205284214
主廚,0.08829183612122088
番茄,0.07609297611483054
甜點,0.07541620713806363
調味,0.07345838956464663
特別,0.0727449470324487
每道,0.0718128925427021
文化,0.07157381149874396
食材,0.06941721354258339
整體,0.06850396243665055
不同,0.06614732021756664
上菜,0.06444261728769553
沒有,0.06327281651887243
口感,0.0630220085496177
主菜,0.06275389021972566
用餐,0.06250808732926535
特色,0.06248287965234306
清淡,0.06082596358057023
手工,0.059658216621396115
第一次,0.05941687862214293
起司,0.058493256932749364
傳統,0.05837531956218783
朋友,0.05545095355897929
有別,0.05467839992821827
建議,0.05467161344599896
恰到,0.05373249855946492
美味,0.05226808752839317
