term,score
店貓,0.11208443892344942
貓貓,0.10850611597983367
空間,0.08591649887686406
今天,0.08533122502524548
貓咪,0.08305878678907891
氛圍,0.07829062464674234
份量,0.07328864451739636
時間,0.07304366923883193
只有,0.06947853104788201
睡覺,0.06475320766926115
親切,0.06111020383935313
調味,0.06030556800234914
飲品,0.05877033172940944
擺飾,0.0583641809397566
東西,0.05742017201851396
氣氛,0.05742017201851396
檸檬塔,0.05608103822492757
雖然,0.055941628041744046
喜歡,0.054097747155352975
不夠,0.05215238218326484
鮮奶茶,0.05128050181041503
用餐,0.05105336740150588
一定,0.050122752472018035
起司,0.04940250948553058
見客,0.048839546270108974
蛋糕,0.04833791575368734
適合,0.04422251771012674
晚餐,0.044062788549416476
二樓,0.04400949514745139
口感,0.04339236484867105
