term,score
食材,0.11188063509046925
創意,0.10931122547007448
embers,0.09806048038546729
台灣,0.09682877420328907
美味,0.09262727848805163
驚艷,0.0844872395127486
一道,0.08324255012443117
主廚,0.08037196519474804
搭配,0.07928539873523771
米其林,0.07632108813191808
用餐,0.07267413111275277
海洋,0.07234987331223994
喜歡,0.07162829474818577
整體,0.0690257043743206
空間,0.06346808360413983
不會,0.06269915998754275
體驗,0.06208826752519457
呈現,0.06070628055656021
植物,0.06026443647450437
dining,0.059950419896000945
fine,0.059950419896000945
口感,0.05924129313399758
還有,0.05893624981805054
甜點,0.05803122768850232
不錯,0.05789504035911983
朋友,0.05751660861391583
融合,0.057446698587461494
一定,0.056613551322334296
有趣,0.05576306224523966
第一次,0.05569147941251559
