term,score
無法,0.24101349613926654
用心,0.16669072950285144
那麼,0.15670442768061382
完全,0.132369130705707
一直,0.12856427859038522
旁邊,0.12753283666677756
開胃,0.12475314748179941
主廚,0.1228184087884954
主餐,0.11473324521956829
米其林,0.10478976896697147
起司,0.09184695807093785
特別,0.05994941773753451
高級,0.05296734139930274
介紹,0.04911223645388854
法式,0.04908541761640703
體驗,0.030270824476307745
一次,0.024700150335283805
蛋糕,0.019786216708875596
法餐,0.017448011479145903
另外,0.015077663207709445
12,0.01250486468305824
晚餐,0.008212827224067645
時間,0.0033951786770701
紅酒,0.0009010975779246977
