term,score
搭配,0.1346371993162882
用餐,0.11296694064559665
法式,0.1028228239082798
食材,0.09459090390209526
不錯,0.09419445870177867
喜歡,0.09249261268156522
起司,0.09179497920786568
美食,0.0895546930041495
口感,0.0890850948657478
第一次,0.07989580152895887
甜點,0.0714026822263267
一道,0.0712181242427702
不是,0.07001423195667694
雖然,0.0659067259576498
特別,0.06436835383361465
巧思,0.06378493580331061
fine,0.0543011306610245
dining,0.0543011306610245
另外,0.053567343728437355
完美,0.05315678388377967
推薦,0.052514423787887905
美味,0.05090417353468364
法國,0.04957743982859873
10,0.04869040570089564
擺盤,0.04868422812304311
鵪鶉,0.04859848990763017
令人,0.0477123955342279
一家,0.04756847557821173
套餐,0.04607947860265571
整體,0.045590318774419096
