term,score
三明治,0.11973302811519215
牡蠣,0.08384238297339532
招牌,0.07473447532960793
飲料,0.07296064574972828
套餐,0.0645015113135403
推薦,0.06140430376835541
薯條,0.061274886602889794
熱情,0.058653290122163367
豬肉,0.05716565109893695
口感,0.05011894629223048
氛圍,0.048651040657915354
氣氛,0.04636815837209784
份量,0.0451931565505586
衣服,0.0444036807491445
美味,0.044120339284466625
莎莎醬,0.0426545092205629
意外,0.042265019420696034
舒服,0.041822107525348526
聚餐,0.04105137262394542
美食,0.04063969845678564
店內,0.04045961894163187
很棒,0.03781089523726064
特色,0.03680325712064924
可續,0.0356471502462305
牛肉,0.035094139137031924
搭配,0.03481630662957422
親切,0.03289783367076997
酥脆,0.03275361769852748
更好,0.032549655174201435
乾淨,0.032227741213546775
