term,score
單車,0.16974819287969517
咖啡,0.10301461298499659
健康,0.09066869513973831
推薦,0.0900519417590001
空間,0.08756380700108944
值得,0.08156493626713154
午餐,0.07927778121242697
整體,0.07759025779273887
用餐,0.07514183319951127
動物園,0.07066962966110404
店內,0.07063697082906996
口感,0.0704993681911439
親切,0.06985225624844231
美味,0.06970314140132035
氣氛,0.06839610404613798
起來,0.0679284016268929
用品,0.06731550381149894
搭配,0.0671268731354008
舒適,0.06383983614119774
食材,0.06093941114503561
明亮,0.06052762266814572
運動,0.05975579957055831
店家,0.05952175330768511
舒服,0.058163438899135805
結合,0.057801138252447634
用料,0.056225072053094995
自行,0.055521236124568524
擺設,0.0547745159682779
適合,0.05420670754188189
貓空,0.053785800594233185
