term,score
好喝,0.09973042360603172
調酒,0.09958692068756395
魚湯,0.09589266842467832
蕎麥,0.08724470331055699
不錯,0.08514332196319192
喜歡,0.08182038960612972
整體,0.07771232556492014
推薦,0.07403981677408283
層次,0.07269652274973315
發酵,0.07232693004152758
搭配,0.07048665706752967
一杯,0.0699884632726213
薯條,0.06850735145544974
牛舌,0.06769499265727599
部分,0.06573872720370565
自己,0.06165677300999588
空間,0.06072363400776062
用心,0.06030796797042923
布里,0.05929917632171315
口感,0.05887581639893636
適合,0.058042394832820046
點了,0.056891470978845025
公屋,0.05423414356544779
裝潢,0.05398817204757392
舒服,0.053337358823010925
朋友,0.05238604770086458
有趣,0.05184569284255801
聊天,0.051559915981500955
咖喱,0.05124146185230058
還有,0.05102853645240283
