term,score
用餐,0.13328241465504384
調味,0.11194901781013594
大利,0.10143296659578291
餐具,0.09576572424657265
氣氛,0.08876983181736858
洋房,0.08659774568474626
不錯,0.08519175425399664
享用,0.08140445732860335
套餐,0.08136646482343271
地方,0.0774960324960637
干貝,0.07571618387358603
口感,0.07468137798124573
氛圍,0.07186701303282232
空間,0.0718490752334348
下午茶,0.07027740628681287
時間,0.06843444077717514
適合,0.06681431172252676
屏風,0.0663303405654147
白色,0.06556901582515673
客人,0.06163441630629131
不過,0.0604535090883108
風格,0.05726418334935138
親切,0.056788815395163485
蘑菇,0.05624623006103305
份量,0.05616154014321076
一直,0.05615280932494911
一下,0.05543652397921059
法式,0.05478419699539962
濃郁,0.052931089081129666
選擇,0.0508222746937988
