term,score
15,0.15614611468504377
需要,0.14276703961147236
早餐,0.1367188217768645
不能,0.1329031232501566
知道,0.12676682998597413
飯店,0.12547651087529993
結果,0.10854637469988737
房卡,0.10131905319511761
雖然,0.08900183006192561
房型,0.07271080299207636
經驗,0.06840851701338369
只有,0.06840851701338369
提供,0.061371254240065475
退房,0.06078621990093098
不夠,0.059251707693603176
確認,0.05911079472165887
詢問,0.05814260949412757
使用,0.054259297289060496
一次,0.05259617498477051
整體,0.05073687492646662
出去,0.03789596182077091
安排,0.03747494391507869
地方,0.03323909660682855
設計,0.032900202978487246
一位,0.03277969558688602
許多,0.02572900192757748
會員,0.023572853151611617
每次,0.023572853151611617
甚至,0.022153215169797732
一樣,0.020963295007933848
