term,score
房間,0.1767970346145265
酒店,0.17614147866237348
君悅,0.14619684503927513
氛圍,0.11594962304112688
人員,0.11179826089270836
101,0.10810305627931088
特別,0.10397892855354693
舒適,0.09939100080363528
選擇,0.09572037280100222
方便,0.09218744350717198
服務人員,0.08858756368109151
二樓,0.08427090215838119
交通,0.08333432412367185
空間,0.08327634007491591
感到,0.0803327611417952
不是,0.07990854623432016
入住,0.07381253457985326
這次,0.06997164952938417
品牌,0.06765896379834571
喜歡,0.06524319151285742
旅客,0.058817324707228724
還有,0.05860634098316439
下次,0.05860634098316439
以及,0.050171758222565865
大樓,0.046395935575081676
體驗,0.04203357965102064
