term,score
用餐,0.191504069344226
主餐,0.15284496316329677
牛頰,0.10862563017412201
份量,0.09648613887488448
自助,0.09201199826456732
舒服,0.0901248410457958
水準,0.08803354462396078
家人,0.07265321526433609
超級,0.07131192605732758
甜點,0.06826751996555443
回訪,0.06577565051476603
種類,0.06334368017728552
座位,0.0620507978660194
自助式,0.05781582012267521
空間,0.056097071623600364
喜歡,0.05553358393711579
沙拉,0.055141420698137544
羊排,0.05465574910376381
蛋糕,0.05435393744179176
雖然,0.05042722254055907
完全,0.05018262954998606
搭配,0.049002530031450664
自助餐,0.04215712045192589
貼心,0.040604593776813885
氣氛,0.04053593005065576
一定,0.03825732242335268
很棒,0.03602962474802107
鈴薯,0.03186331073083501
整體,0.03047085988862972
