term,score
店員,0.22101298526657914
客人,0.1937497629500441
知道,0.1538866387918074
醬料,0.1538866387918074
外帶,0.14734199017771943
這次,0.1025910925278716
還是,0.1025910925278716
喜歡,0.1025910925278716
告知,0.1025910925278716
旁邊,0.1025910925278716
一次,0.1025910925278716
點餐,0.0889147234121006
明明,0.07367099508885971
朝外,0.07367099508885971
此行,0.07367099508885971
毫無熱,0.07367099508885971
餐不錯,0.07367099508885971
態度,0.07367099508885971
外頭,0.07367099508885971
小姐,0.07367099508885971
大開,0.07367099508885971
眼界,0.07367099508885971
取餐,0.07367099508885971
卻裝,0.07367099508885971
兩位,0.07367099508885971
任何,0.07367099508885971
了解,0.07367099508885971
中午,0.07367099508885971
流程,0.07367099508885971
2025,0.07367099508885971
