term,score
poke,0.20133484199532797
食材,0.1701903729026104
沒有,0.11611764152867184
新鮮,0.11589742925857818
用餐,0.11313876668199999
健康,0.11095918059420129
一口,0.08914982018157813
夏威夷,0.08567549903336247
清爽,0.08537795088222128
需要,0.08534564084586
份量,0.0846267445228771
搭配,0.08287861677945058
不會,0.07971703014627911
外帶,0.07816327998980925
配料,0.07807059251947875
出餐,0.07248316620419812
直接,0.07152246246681651
加點,0.0668691504896636
選擇,0.06276718500303358
飽足感,0.06236003305844575
店內,0.062278516316665394
蔬菜,0.06159734851097176
胸肉,0.057666278579198524
午餐,0.05622109962090976
座位,0.04951302528772028
美味,0.04432318205637867
推薦,0.044212717830573275
套餐,0.04274850155656572
多元,0.03701589866484578
多種,0.03242526449184757
