term,score
明太子,0.176367792169044
奶油,0.11821767891064551
歐姆蛋,0.09992881173812837
不會,0.09218666648324378
整體,0.08886782571104396
喜歡,0.08787658054013467
牡蠣,0.08645861374656089
套餐,0.08351185666809426
巴斯克,0.08313132877159701
野菇,0.07655880672836718
朋友,0.07536838196490893
推薦,0.07468812757890828
溫泉,0.07251897031966345
濃湯,0.07182331145726606
沙拉,0.0704151522023308
培根,0.06956328422970821
青醬,0.06580616588060087
美味,0.06534498450641907
收服,0.06505861934982776
店內,0.061696701079031656
份量,0.05972907194483577
雞肉,0.05965659671233567
稍微,0.058193725246068036
訂位,0.0581369744890081
蛋糕,0.05680017509298112
滿滿,0.055114517492306246
香氣,0.0548739363977928
務費,0.053161186067922604
預約,0.05214471178163031
口感,0.05039605573445578
