term,score
舒服,0.11095030559762414
喜歡,0.11028432616323289
推薦,0.09856651151452749
台灣,0.0914818540448217
15,0.0895417773747258
酒單,0.08616240913734383
調酒,0.08429775150195204
起司,0.08366275648054008
份量,0.072382210124405
很棒,0.07098525375536935
經典,0.0685823662433361
驚艷,0.06815707472660562
朋友,0.0668730373254769
值得,0.06497077515500257
這次,0.06276335764620036
親切,0.061145770600936164
風味,0.05997928996035332
週年,0.05605160019309004
女人,0.053978428083839666
喜好,0.04970811577749858
外國,0.04506020395847664
豐富,0.04491180860694383
適合,0.043239023472879695
搭配,0.023575187452408365
點了,0.021439910815576044
特色,0.011346531229677104
印象,0.008820145284884062
專業,0.007415098605749508
