term,score
10,0.21881182730292778
完全,0.14903699265956222
東西,0.09498447033981598
稍微,0.09322349497841048
不能,0.07762881664774329
關東,0.0620008396952767
海味,0.0594376974169277
不會,0.05257531270851487
cp,0.037679509395011676
淡淡的,0.03619310578357618
微辣,0.03338776160971514
點餐,0.0321725293365591
整體,0.028321574058360263
一直,0.027836862602859468
除了,0.024802553096170517
口感,0.020281530853077087
美味,0.018896842568495657
想要,0.016808833699267313
今天,0.015577745329050107
只有,0.012278306213942703
入口,0.010598494820404002
肉丸,0.007154871027254393
明太子,0.005211529429546561
水煮蛋,0.0020676074811674418
定食,0.001690397644254188
不同,0.0016428240117629667
調味,0.001059134929328541
