term,score
套餐,0.0867715593010596
份量,0.08578199179322858
喜歡,0.07879665881542189
鮭魚,0.0729756926094671
推薦,0.07060761975397621
清爽,0.06715029108320149
乾淨,0.06521117122768526
飲料,0.05892696407830676
食量,0.056745710027229196
清淡,0.055987598983783936
紫蘇,0.05587435707083528
咖啡,0.05413601977854304
選擇,0.05228753943193397
蔬菜,0.05202503164885727
舒服,0.05165453814557678
好喝,0.050813693680066906
負擔,0.04962466953796764
適合,0.04819438896940564
用餐,0.04797857174581504
兩個,0.04331885341656025
看到,0.04169127844218235
搭配,0.040725780744008504
店裡,0.04048717622641626
舒適,0.040285022033500845
位置,0.04007918004638364
日式,0.03943616290153526
座位,0.03661771116648888
健康,0.03644010626297527
每次,0.03585038666551915
香氣,0.03379651038943929
