term,score
調酒,0.15574434184979496
適合,0.12777773269024564
朋友,0.11992810739711865
地方,0.11606910221413216
推薦,0.10744708332890812
親切,0.10100173003594923
好喝,0.09968779275156302
紅酒,0.08747077938841519
貼心,0.08686008157948938
聊天,0.08634360200134453
意外,0.08278248513242037
蒜味,0.08179147711898038
酒吧,0.07923648302789732
沙拉,0.07248859525353442
不會,0.07135134790008675
舒服,0.07133991729972736
聚會,0.06734316271225017
下班,0.06669281455439145
小酌,0.06346671655483381
順口,0.055881817661581686
酒感,0.053894745894089255
建議,0.04316373923662003
