term,score
啤酒,0.2128228956382838
咖哩,0.14939453202912578
泰式,0.14764977001292812
不錯,0.13714828404287505
聚餐,0.10999467805574968
蝦餅,0.10242312404124214
選擇,0.09813180572621627
雖然,0.08675826096944081
份量,0.08621366207223896
好喝,0.07973770918796992
白飯,0.0778239413073785
傳統,0.06716990745497281
還有,0.06703516374656748
特別,0.06664307711954504
精釀,0.06505410747777837
推薦,0.0645603247910196
值得,0.06255571026819028
餐前,0.057595595105112585
特色,0.04808956610900417
涼拌,0.044866496534073444
空心菜,0.044353937217215936
蝦醬,0.044353937217215936
條狀,0.04285593762319299
兩種,0.04285593762319299
濃郁,0.04029504731982023
平衡,0.03500654853156017
