term,score
特別,0.2807022156721269
炸肉,0.18919780993276014
14,0.14803127555273557
用餐,0.0928874613935479
時間,0.09263840999963929
不會,0.07315089325023992
50,0.07179928959587621
知道,0.06314184409260308
00,0.062143173224740084
現金,0.06210402264805821
候位,0.058358767288853
起司,0.05108917002618962
窗口,0.0393470641767438
分鐘,0.031074232443475104
湯圓,0.022229159474725257
一下,0.021452553301171115
登記,0.012566558765125378
限時,0.012193596406356838
30,0.011696706780577187
座位,0.01127780937592153
配上,0.011140803216805321
一半,0.007989498395858115
不同,0.007106851494146145
入座,0.005722430310247648
芥末,0.004226601192275678
酥脆,0.00306490075335461
芝麻,0.0005625891390119639
