term,score
豬排,0.17552253521974062
搭配,0.09876959018164602
份量,0.09295102822603218
中山,0.08831195274561529
排蓋飯,0.0855047802951427
半熟,0.07988921445219163
一般,0.07854598051302128
口感,0.07306872924146013
七味,0.0688972653266077
甜點,0.06275956626085251
這次點,0.06142206188041731
晚上,0.06091758374418214
katsu,0.055903948494121836
鑫豬,0.055903948494121836
炸豬,0.055474271517345984
小菜,0.054155149058268064
排隊,0.053654755101730046
大盛,0.05298873925842608
整體,0.05294849688622226
肉汁,0.05123523941707782
下去,0.04636136583920575
熟成豬,0.04328862411530473
直接,0.031105813487108287
17,0.030479078956298866
驚艷,0.02408624303575286
推薦,0.02406207360231585
花生,0.01408139957998375
美味,0.012979118025540401
結帳,0.012087185020565161
肉質,0.009790890761779365
