term,score
調酒,0.1553187299279381
特色,0.12564423535495967
knock,0.11493870413541783
好喝,0.09493728672780223
搭配,0.08767684675022255
風味,0.08765879529199114
酒單,0.07774628662278006
整體,0.07644613073830175
花生,0.07087592055650793
一杯,0.07060776208649625
喜歡,0.06858289428150036
酒都,0.06850828722498947
不會,0.06412746857633408
餐酒館,0.06402758408455192
酒吧,0.06384113867981388
回訪,0.06147924428987199
調酒師,0.06019435888840502
酒感,0.06015947449779394
二樓,0.06005345675932975
值得,0.05970786730088481
專業,0.05944182479842284
調味,0.05843993977902616
下次,0.05504400780044931
漢堡,0.053345784358410364
一樓,0.05144182645286311
一下,0.04890919437290932
口感,0.048009716442778294
點了,0.047944054711482414
不同,0.04729843821304496
風格,0.047284832514319704
