term,score
份量,0.12290255342116227
用餐,0.10392924470132797
甜點,0.09333348939855153
濃郁,0.0873715977251634
套餐,0.08656205160644921
滿足,0.08393524897435747
很棒,0.08376110442983781
沙拉,0.08133660204860611
建議,0.07892605733443489
美味,0.07157180450416396
披薩,0.06949229182941485
氣氛,0.06823355241362268
特別,0.06175821370742239
服務生,0.04833917003636239
不會,0.04645037884919696
奶油,0.04564133562570033
干貝,0.04564133562570033
飲料,0.045084075072502096
選擇,0.040770853674465146
一道,0.040034835467744945
喜歡,0.03310906362333631
松露,0.03089682125890523
干貝燉,0.02507153611989982
蘑菇,0.02507153611989982
點了,0.004280105464327132
典雅,0.003354924863007383
今天,0.002999559852302547
裡面,0.002992502562051913
