term,score
牛排,0.14381009838229905
大利,0.14321268076055874
套餐,0.13040428858670877
蘑菇,0.13020024742428396
服務人員,0.11690645576557063
甜點,0.11269339016090944
推薦,0.09698394702303302
整體,0.0939591301962423
咖啡,0.0851886645509381
奶油,0.08469731540060263
前菜,0.07768973309502797
lulu,0.07473305756690218
150,0.07447581438226022
美味,0.07423589180512088
銀行,0.0740508884219766
玉山,0.07370612303779311
不錯,0.07266905422750311
290,0.07261474138935584
氣氛,0.07230787878306572
這次,0.06956020809531231
九折,0.06913578997229688
用餐,0.06486241302373194
主餐,0.06485639796214127
沙拉,0.060907626672971685
超值,0.056597806071217914
巧克力,0.053893817385933435
湯品,0.04884461020668766
飲料,0.04205319472759928
