term,score
大利,0.10811269237903741
推薦,0.09472542988728154
份量,0.09350177633716224
牛排,0.08911764945843834
用心,0.08104213885984309
香氣,0.08001911023010791
主廚,0.07554797673144867
適合,0.07508955687156088
朋友,0.07420508667601641
焦糖,0.07284348071625539
不錯,0.06914950253004852
地方,0.06906780529567921
搭配,0.06817562183333159
質感,0.06731663513706065
氣氛,0.06502018956836562
沙拉,0.06439346377167426
茶壺,0.06319441005896782
醃漬,0.06292628749770281
美味,0.06259039250714385
適合約,0.06225077844134255
烤布蕾,0.06182322667532594
還是,0.061191155960856794
明太子,0.060980671415196336
親切,0.06047033498160989
一點,0.056529232404168114
一道,0.0555608442976593
特色,0.05554413323878447
外場,0.05339091386733141
巧克力,0.05265138125033245
一家,0.05005763259316025
