term,score
大利,0.1593284443738997
牛排,0.1209014214053737
甜點,0.10346344378861558
前菜,0.09642710403174612
威靈頓,0.09481061448226459
用餐,0.09090918984940909
第一次,0.08669023620116269
生日,0.07781399272749004
部分,0.07041678957616077
下次,0.07008957325543501
選擇,0.06995186673928384
喜歡,0.0678425364156642
口感,0.06698153630037505
一起,0.06142441071530309
每道,0.06133819894166414
雙槽,0.06071326627453618
份量,0.05837250083231835
特別,0.0564390682059668
這麼,0.05565116768645785
體驗,0.05475713187753818
蘋果,0.05445613846030308
不會,0.05374707312651538
推薦,0.05033971129282249
克拉,0.04993925305718813
還會,0.04974991899131817
主廚,0.04957932776306506
伊比利,0.049079078743155924
時間,0.048968081435072724
整體,0.04848238433627158
試試,0.04735605152059361
