term,score
義大利麵,0.16505253748718124
用餐,0.12714808746989534
缺點,0.09022842098483291
時間,0.09000293435508405
剛好,0.08395458306435048
回訪,0.08100988469903385
服務費,0.0764914120216997
選擇,0.06605108552873866
適合,0.06603808380752203
青麻,0.06394676674947293
甜點,0.063819195574035
明亮,0.06302209700415579
好喝,0.06076618728313015
舒適,0.06076618728313015
奶雞肉,0.06072494501494358
香氣,0.05924896986322551
份量,0.055471003782151564
速度,0.05535264597899738
點了,0.055146328961079474
喜歡,0.05501302504313388
推薦,0.05500169479775835
培根,0.050772021372828324
蛋糕,0.049980806885279325
親切,0.046048308785664134
搭配,0.04558358385224671
裝潢,0.04266240801026417
建議,0.0422285577955529
上菜,0.04113105477767143
花椒,0.04006232344041179
雞肉,0.03487388591983018
