term,score
用餐,0.11468609182471469
搭配,0.109201651877116
單點,0.10626157156018302
喜歡,0.08823463056264193
美味,0.08658782446141981
風味,0.0849035694354979
時間,0.08328001687824071
五花,0.0812091076580932
食材,0.08099527848790948
用心,0.07619740109384601
米其林,0.07505501189075801
值得,0.07369232129386212
親切,0.07340900128068616
調酒,0.07096343040952724
套餐,0.0694629703302024
冰淇淋,0.065980364599432
九層,0.0654188621714569
組合,0.06210358639634278
longtail,0.06185140205323862
創意,0.06177875591295827
一道,0.059919885698992
主餐,0.05824487236979754
好喝,0.05793563304992798
選擇,0.05751009234082623
台北,0.05732599756794793
第一次,0.05521946994120082
嘗試,0.05482699989562939
小點,0.05443476480964848
有趣,0.052566266526316116
體驗,0.05145203109403427
