term,score
素食,0.15202966160693232
喜歡,0.11453396495518739
推薦,0.11011569385019582
美味,0.09998688269918403
vegan,0.09134320056024592
親切,0.08336531880571413
點了,0.08311901967606825
蛋包,0.08222834299353272
用餐,0.0821010384261474
選擇,0.0816446936906282
店內,0.0797192152480464
純素,0.07724552482860864
泰式,0.07413025747166235
一道,0.07199988600031677
附近,0.06960646291186805
舒適,0.06868001270711527
搭配,0.06498778076433889
蔬菜,0.0645701546976441
石鍋,0.06180417445023799
值得,0.061652794693969226
恰恰,0.05932426301912193
第一次,0.05914248954591682
完全,0.05795743363416353
除了,0.05111825707648432
今天,0.04695573435326293
披薩,0.045485142486902705
韓式,0.04449241902103415
方便,0.0433584230838693
空間,0.041171611236755355
商品,0.038677640203761535
